port,hits
30785.0,16
8990.0,19
35978.0,7
35944.0,6
35958.0,3
35970.0,6
50186.0,59
34440.0,5
15672.0,344
11634.0,23
30772.0,8
21309.0,26
30852.0,12
30593.0,15
30913.0,8
34276.0,9
30665.0,16
34266.0,5
34280.0,7
49970.0,6
54644.0,4
3110.0,22
40788.0,5
31337.0,275
30949.0,23
19999.0,127
35438.0,4
8026.0,42
30964.0,8
62876.0,1
1443.0,292
19350.0,2
36293.0,10
57256.0,4
18207.0,4
58576.0,6
35874.0,7
12227.0,6
58568.0,3
39467.0,2
57718.0,13
30761.0,8
30930.0,10
52344.0,13
18054.0,10
30533.0,9
30751.0,8
52588.0,13
52594.0,3
52608.0,5
36046.0,5
49614.0,5
38591.0,9
51742.0,4
40000.0,162
8430.0,29
27017.0,1550
51206.0,3
4443.0,873
5601.0,160
53282.0,118
54472.0,6
18064.0,8
17000.0,494
9097.0,41
8983.0,239
63447.0,5
32811.0,3
46999.0,6
45974.0,8
45978.0,4
45984.0,5
17022.0,2
62000.0,4
16534.0,3
4247.0,24
30931.0,9
8435.0,33
49974.0,6
49992.0,14
49990.0,10
44410.0,5
10812.0,17
34171.0,5
26176.0,9
8436.0,25
40368.0,6
40372.0,9
40386.0,7
40400.0,10
37740.0,2
1962.0,316
5081.0,122
39165.0,2
47534.0,19
30355.0,20
39033.0,2
3422.0,4
90.0,78
16023.0,14
51114.0,13
46738.0,2
52684.0,11
8440.0,34
30714.0,10
30518.0,8
1224.0,104
37168.0,7
30693.0,9
6468.0,22
8453.0,36
8451.0,20
53238.0,11
39180.0,9
39784.0,11
8449.0,32
54984.0,13
9999.0,1118
18791.0,5
44730.0,8
8050.0,244
50555.0,9
44738.0,6
40895.0,2
8004.0,125
39268.0,11
30617.0,8
30798.0,12
30769.0,8
30728.0,20
37310.0,6
45316.0,5
60800.0,9
179.0,142
44596.0,10
24291.0,4
2225.0,62
4896.0,36
30543.0,6
30929.0,6
39231.0,2
30683.0,8
36432.0,2
7777.0,596
32794.0,7
58496.0,5
34244.0,8
10904.0,18
10141.0,17
3189.0,12
10316.0,15
7023.0,25
37597.0,2
14789.0,22
51468.0,7
2022.0,178
3331.0,15
31571.0,4
30740.0,8
30890.0,20
30733.0,10
30574.0,10
49100.0,10
30775.0,9
50100.0,144
63256.0,97
6316.0,24
33716.0,8
9091.0,261
57878.0,6
6206.0,18
10252.0,54
36334.0,4
36342.0,6
30838.0,6
20133.0,9
30513.0,18
39802.0,22
3178.0,11
8463.0,26
30716.0,11
30866.0,8
10443.0,515
51747.0,7
58064.0,12
58070.0,7
42399.0,1
39194.0,5
5984.0,645
41980.0,12
8743.0,46
12799.0,4
13215.0,12
30544.0,15
47392.0,15
30942.0,8
47386.0,1
30796.0,12
31530.0,5
39018.0,9
7785.0,18
39318.0,15
5015.0,28
30575.0,8
6467.0,61
30754.0,8
25433.0,5
36632.0,8
39401.0,2
61841.0,1
21242.0,75
30690.0,9
16992.0,99
30788.0,18
30748.0,18
13329.0,2
30797.0,10
3052.0,28
55184.0,9
25700.0,2
41584.0,58
46496.0,10
2503.0,2
30703.0,8
32778.0,9
32782.0,15
30845.0,18
39283.0,3
30556.0,8
5905.0,96
11112.0,182
7352.0,25
54708.0,5
6989.0,19
48084.0,7
48086.0,6
22055.0,5
48102.0,7
40422.0,7
40434.0,11
47015.0,5
40602.0,8
25466.0,4
23771.0,6
30855.0,7
30756.0,16
30600.0,23
12129.0,8
8024.0,32
30661.0,17
30998.0,20
30907.0,9
47240.0,5
30501.0,14
6011.0,81
4014.0,20
30620.0,23
30871.0,8
30813.0,17
11495.0,58
36352.0,4
36346.0,7
42018.0,8
45507.0,5
30928.0,10
30521.0,9
30687.0,11
8834.0,89
30608.0,15
39200.0,9
13330.0,2
30605.0,9
1675.0,8
44502.0,4
55608.0,8
38646.0,14
55606.0,11
39502.0,6
8288.0,27
49590.0,8
35894.0,4
30781.0,10
3387.0,93
45128.0,12
39916.0,3
45140.0,8
39932.0,5
42050.0,5
42064.0,9
39661.0,5
30934.0,6
53382.0,2
39159.0,6
5922.0,41
8951.0,12
1801.0,121
39465.0,2
39818.0,9
26248.0,51
30986.0,9
30786.0,12
18103.0,4
30721.0,12
30921.0,10
9090.0,802
52910.0,10
5606.0,33
30724.0,12
37578.0,3
30618.0,21
37588.0,4
31481.0,32
13321.0,2
39277.0,2
8502.0,50
9046.0,49
5672.0,387
30994.0,9
18047.0,10
45665.0,4
43870.0,4
3333.0,581
48884.0,7
51280.0,5
48835.0,5
10752.0,66
50210.0,5
30672.0,6
30083.0,51
43389.0,10
8480.0,56
8510.0,22
61616.0,691
33638.0,8
2879.0,6
11443.0,152
3125.0,25
9002.0,354
37384.0,5
18100.0,19
43284.0,7
43298.0,5
43272.0,3
9023.0,53
55491.0,4
10011.0,45
57596.0,6
8520.0,28
88.0,248
5678.0,410
6443.0,469
59642.0,4
13322.0,5
2025.0,7
30831.0,7
30826.0,12
58443.0,6
8515.0,12
54414.0,6
8513.0,19
30743.0,9
10080.0,191
42826.0,6
7574.0,133
2522.0,38
52936.0,4
2030.0,14
38572.0,7
8540.0,23
8524.0,26
37900.0,5
30818.0,8
104.0,196
808.0,100
51413.0,10
8521.0,24
57590.0,4
6363.0,89
5090.0,44
30606.0,8
55202.0,11
40774.0,10
587.0,629
5432.0,1805
40782.0,8
30651.0,6
31602.0,6
39894.0,11
333.0,8
30833.0,9
3323.0,4
83.0,307
34016.0,6
40586.0,6
46216.0,8
16411.0,6
2377.0,168
18255.0,8
35722.0,5
34018.0,5
35718.0,8
35732.0,5
35748.0,10
35734.0,13
35740.0,17
8408.0,28
50908.0,8
39713.0,4
13323.0,8
1081.0,61
9040.0,45
30954.0,6
15900.0,8
8100.0,217
50524.0,10
12143.0,4
56098.0,6
55224.0,5
9510.0,29
39312.0,6
32790.0,22
7879.0,39
10088.0,41
30510.0,6
43598.0,4
30973.0,10
30619.0,9
42543.0,4
39929.0,4
45452.0,16
45468.0,4
2255.0,32
12189.0,9
10023.0,31
10021.0,52
10081.0,35
7082.0,44
40870.0,8
55165.0,5
6100.0,31
30540.0,8
39643.0,3
41910.0,4
32800.0,32
39972.0,13
30814.0,10
57700.0,11
39025.0,3
20257.0,134
10260.0,102
3595.0,25
13252.0,10
34900.0,4
4022.0,83
27100.0,2
55322.0,5
55318.0,4
49161.0,15
11742.0,59
30793.0,9
5232.0,27
16068.0,16
53438.0,9
6537.0,20
9908.0,40
30581.0,16
30996.0,8
5988.0,89
30503.0,12
39116.0,8
30612.0,4
37052.0,2
39306.0,8
54968.0,7
39941.0,3
8091.0,227
3002.0,68
25003.0,10
41994.0,7
42004.0,5
25500.0,5
34743.0,4
43325.0,1
5600.0,43
42990.0,9
43000.0,6
38435.0,10
40572.0,8
3207.0,4
42978.0,6
42988.0,5
30706.0,12
59246.0,7
59242.0,6
12217.0,20
39998.0,10
39279.0,2
30697.0,12
12117.0,13
9011.0,67
30640.0,9
5908.0,58
59624.0,11
25005.0,9
59450.0,8
